categoryName,ParentCategoryName,catlevel,noItems
Air Table,,1,1
Isolation,Air Table,2,6
Analyzers/Meters,,1,12
Air Particles,Analyzers/Meters,2,9
Conductance,Analyzers/Meters,2,4
Conductivity,Analyzers/Meters,2,8
DS,Analyzers/Meters,2,2
Fluoride,Analyzers/Meters,2,1
Gases,Analyzers/Meters,2,9
Ion,Analyzers/Meters,2,1
IR,Analyzers/Meters,2,0
Leak Detector,Analyzers/Meters,2,4
Moisture,Analyzers/Meters,2,5
Oil,Analyzers/Meters,2,2
Oxygen,Analyzers/Meters,2,8
Ozone,Analyzers/Meters,2,2
Particle,Analyzers/Meters,2,7
pH,Analyzers/Meters,2,29
pH Electrodes,Analyzers/Meters,2,10
Photoionization,Analyzers/Meters,2,1
Sample Feeder,Analyzers/Meters,2,0
TOC,Analyzers/Meters,2,0
Water Analysis,Analyzers/Meters,2,0
Dew Point,Analyzers/Meters,2,2
Misc,Analyzers/Meters,2,1
Animal,,1,0
Anesthesia,Animal,2,3
Cages,Animal,2,0
Grip Strength ,Animal,2,0
Other,Animal,2,4
Plethysmometer,Animal,2,0
Pulse Generator,Animal,2,0
Autoclave,,1,0
Balances,,1,6
Accessories,Balances,2,10
Analytical,Balances,2,19
Microbalances,Balances,2,4
Moisture,Balances,2,3
Other,Balances,2,3
Platform,Balances,2,5
Printers,Balances,2,5
Safety Hoods,Balances,2,0
Table,Balances,2,7
Top Loading,Balances,2,33
Weight Checker,Balances,2,0
0.0004 4 place Decimal,Balances,2,4
0.003 3 place Decimal,Balances,2,2
0.01 2 place Decimal,Balances,2,9
0.1 1 place Decimal,Balances,2,14
1.0 Decimal place,Balances,2,1
Beam / Mechanical,Balances,2,5
Weights,Balances,2,3
Readouts,Balances,2,4
Baths-Circulators,,1,7
Accessories,Baths-Circulators,2,10
Heated Baths,Baths-Circulators,2,58
Fluidized,Baths-Circulators,2,1
High Temp,Baths-Circulators,2,5
Immersion,Baths-Circulators,2,8
Liquid / Liquid,Baths-Circulators,2,4
Oil Baths,Baths-Circulators,2,0
Refrigerated,Baths-Circulators,2,61
Shaking,Baths-Circulators,2,21
Sterilizer,Baths-Circulators,2,0
Viscosity,Baths-Circulators,2,1
Heated Circulator Baths,Baths-Circulators,2,23
Open Baths,Baths-Circulators,2,6
Biotechnology,,1,18
Air Sampling,Biotechnology,2,1
Analyzer,Biotechnology,2,6
Arrayer,Biotechnology,2,6
Autosamplers,Biotechnology,2,3
Bioreactor,Biotechnology,2,0
Blotting,Biotechnology,2,2
BOD,Biotechnology,2,1
Bottle Roller,Biotechnology,2,0
Calibrator,Biotechnology,2,1
Capillary Phoresis,Biotechnology,2,4
Cell Counter,Biotechnology,2,1
Cell Culture,Biotechnology,2,0
Cell Disrupter,Biotechnology,2,10
Cell Factory,Biotechnology,2,0
Cell Preparation,Biotechnology,2,4
Cell Roller,Biotechnology,2,0
Cell Stirring,Biotechnology,2,4
CHEF,Biotechnology,2,0
Colony Counter,Biotechnology,2,1
Crimper,Biotechnology,2,8
Culture Tubes,Biotechnology,2,10
Densitometer,Biotechnology,2,1
Dispenser,Biotechnology,2,4
Dissolution,Biotechnology,2,2
Dry Block Heaters,Biotechnology,2,29
Electrophoresis/PS,Biotechnology,2,50
Filtration,Biotechnology,2,3
Gel Dryer,Biotechnology,2,12
Gene Pulser,Biotechnology,2,6
General,Biotechnology,2,1
Homogenizers,Biotechnology,2,23
Hybridization,Biotechnology,2,5
