id,name,level,parent,lineage,isActive,metadesc,metakeywords
2218,Air Table,1,0,/2218/,1,NULL,NULL
2219,Analyzers/Meters,1,0,/2219/,1,NULL,NULL
2220,Animal,1,0,/2220/,1,NULL,NULL
2221,Asher/Etcher,1,0,/2221/,0,NULL,NULL
2222,Autoclave,1,0,/2222/,1,NULL,NULL
2223,Balances,1,0,/2223/,1,NULL,NULL
2224,Baths-Circulators,1,0,/2224/,1,NULL,NULL
2225,Biotechnology,1,0,/2225/,1,NULL,NULL
2226,Bonders,1,0,/2226/,0,NULL,NULL
2227,Cabinets,1,0,/2227/,0,NULL,NULL
2228,Cable Stripping,1,0,/2228/,0,NULL,NULL
2229,Centrifuges,1,0,/2229/,1,NULL,NULL
2230,Chart Paper,1,0,/2230/,1,NULL,NULL
2231,Chemicals,1,0,/2231/,1,NULL,NULL
2232,Chromatograph-Gas,1,0,/2232/,1,NULL,NULL
2233,Chromatograph-Liquid,1,0,/2233/,1,NULL,NULL
2234,Controllers,1,0,/2234/,1,NULL,NULL
2235,Cooling Units,1,0,/2235/,1,NULL,NULL
2236,DNA,1,0,/2236/,0,NULL,NULL
2237,Dryers,1,0,/2237/,1,NULL,NULL
2238,Electrochemical Reactor,1,0,/2238/,1,NULL,NULL
2239,Enviromental Chambers,1,0,/2239/,1,NULL,NULL
2240,Evaporators,1,0,/2240/,1,NULL,NULL
2241,Exposure Systems,1,0,/2241/,1,NULL,NULL
2242,Extraction,1,0,/2242/,0,NULL,NULL
2243,Fermentation,1,0,/2243/,1,NULL,NULL
2244,Filtration,1,0,/2244/,1,NULL,NULL
2245,Flow Meters,1,0,/2245/,1,NULL,NULL
2246,Freeze Dryers,1,0,/2246/,1,NULL,NULL
2247,Furnaces,1,0,/2247/,1,NULL,NULL
2248,Glove Boxes,1,0,/2248/,1,NULL,NULL
2249,Heater Elements,1,0,/2249/,1,NULL,NULL
2250,Heaters,1,0,/2250/,1,NULL,NULL
2251,Hoods,1,0,/2251/,1,NULL,NULL
2252,Hospital,1,0,/2252/,0,NULL,NULL
2253,Incubators,1,0,/2253/,1,NULL,NULL
2254,Injection Molding,1,0,/2254/,0,NULL,NULL
2255,Integrators,1,0,/2255/,1,NULL,NULL
2256,Lab Furniture,1,0,/2256/,1,NULL,NULL
2257,Lab Glassware,1,0,/2257/,1,NULL,NULL
2258,Lab Equipment,1,0,/2258/,1,NULL,NULL
2259,Lasers,1,0,/2259/,0,NULL,NULL
2260,Mass Spectrometer,1,0,/2260/,1,NULL,NULL
2261,Material Handling,1,0,/2261/,1,NULL,NULL
2262,Material Testing,1,0,/2262/,1,NULL,NULL
2263,Medical,1,0,/2263/,1,NULL,NULL
2264,Metal Detectors,1,0,/2264/,0,NULL,NULL
2265,Microscopes,1,0,/2265/,1,NULL,NULL
2266,Mills,1,0,/2266/,1,NULL,NULL
2267,Misc,1,0,/2267/,0,NULL,NULL
2268,Mixing,1,0,/2268/,1,NULL,NULL
2269,Motors,1,0,/2269/,1,NULL,NULL
2270,Ovens,1,0,/2270/,1,NULL,NULL
2271,Ozone,1,0,/2271/,1,NULL,NULL
2272,Press,1,0,/2272/,1,NULL,NULL
2273,Pressure,1,0,/2273/,1,NULL,NULL
2274,Printers/Plotters,1,0,/2274/,1,NULL,NULL
2275,Process Equipment,1,0,/2275/,1,NULL,NULL
2276,Pumps,1,0,/2276/,1,NULL,NULL
2277,Radiation,1,0,/2277/,0,NULL,NULL
2278,Reactors,1,0,/2278/,1,NULL,NULL
2279,"Recorders: mV, pH, T, RH",1,0,/2279/,1,NULL,NULL
2280,Refrigeration,1,0,/2280/,1,NULL,NULL
2281,Restaurant,1,0,/2281/,0,NULL,NULL
2282,Robots,1,0,/2282/,0,NULL,NULL
2283,Safety,1,0,/2283/,1,NULL,NULL
2284,Sale Items,1,0,/2284/,1,NULL,NULL
2285,Soldering Machine,1,0,/2285/,1,NULL,NULL
2286,Spectrophotometers,1,0,/2286/,1,NULL,NULL
2287,Spin Coater,1,0,/2287/,1,NULL,NULL
2288,Sputtering Systems,1,0,/2288/,0,NULL,NULL
2289,Steam Boiler,1,0,/2289/,0,NULL,NULL
2290,Steam Boilers,1,0,/2290/,0,NULL,NULL
2291,Synthesizer,1,0,/2291/,1,NULL,NULL
2292,Temperature,1,0,/2292/,1,NULL,NULL
2293,Test Equipment,1,0,/2293/,1,NULL,NULL
2294,Thermal Analysis,1,0,/2294/,1,NULL,NULL
2295,Tubing,1,0,/2295/,1,NULL,NULL
2296,Ultrasonic,1,0,/2296/,1,NULL,NULL
2297,UV - Ozone,1,0,/2297/,0,NULL,NULL
2298,UV Light,1,0,/2298/,1,NULL,NULL
2299,Vacuum,1,0,/2299/,1,NULL,NULL
2300,Valves & Fittings,1,0,/2300/,1,NULL,NULL
2301,Washer,1,0,/2301/,1,NULL,NULL
2302,Water,1,0,/2302/,1,NULL,NULL
2303,Weathering,1,0,/2303/,1,NULL,NULL
2304,Welding,1,0,/2304/,0,NULL,NULL
2305,Air Particles,2,2219,/2219/2305/,1,NULL,NULL
2306,Conductance,2,2219,/2219/2306/,1,NULL,NULL
2307,Conductivity,2,2219,/2219/2307/,1,NULL,NULL
2308,DS,2,2219,/2219/2308/,1,NULL,NULL
2309,Fluoride,2,2219,/2219/2309/,1,NULL,NULL
2310,Gases,2,2219,/2219/2310/,1,NULL,NULL
2311,Ion,2,2219,/2219/2311/,1,NULL,NULL
2312,IR,2,2219,/2219/2312/,1,NULL,NULL
2313,Leak Detector,2,2219,/2219/2313/,1,NULL,NULL
2314,Moisture,2,2219,/2219/2314/,1,NULL,NULL
2315,Oil,2,2219,/2219/2315/,1,NULL,NULL
2316,Oxygen,2,2219,/2219/2316/,1,NULL,NULL
2317,Ozone,2,2219,/2219/2317/,1,NULL,NULL
2318,Particle,2,2219,/2219/2318/,1,NULL,NULL
2319,pH,2,2219,/2219/2319/,1,NULL,NULL
2320,pH Electrodes,2,2219,/2219/2320/,1,NULL,NULL
2321,Photoionization,2,2219,/2219/2321/,1,NULL,NULL
2322,Sample Feeder,2,2219,/2219/2322/,1,NULL,NULL
2323,TOC,2,2219,/2219/2323/,1,NULL,NULL
2324,Water Analysis,2,2219,/2219/2324/,1,NULL,NULL
2325,Anesthesia,2,2220,/2220/2325/,1,NULL,NULL
2326,Cages,2,2220,/2220/2326/,1,NULL,NULL
2327,Grip Strength ,2,2220,/2220/2327/,1,NULL,NULL
2328,Other,2,2220,/2220/2328/,1,NULL,NULL
2329,Plethysmometer,2,2220,/2220/2329/,1,NULL,NULL
2330,Pulse Generator,2,2220,/2220/2330/,1,NULL,NULL
2331,Accessories,2,2223,/2223/2331/,1,NULL,NULL
2332,Analytical,2,2223,/2223/2332/,1,NULL,NULL
2333,Microbalance,2,2223,/2223/2333/,0,NULL,NULL
2334,Microbalances,2,2223,/2223/2334/,1,NULL,NULL
2335,Moisture,2,2223,/2223/2335/,1,NULL,NULL
2336,Other,2,2223,/2223/2336/,1,NULL,NULL
2337,Platform,2,2223,/2223/2337/,1,NULL,NULL
2338,Printers,2,2223,/2223/2338/,1,NULL,NULL
2339,Safety Hoods,2,2223,/2223/2339/,1,NULL,NULL
2340,Table,2,2223,/2223/2340/,1,NULL,NULL
2341,Top Loading,2,2223,/2223/2341/,1,NULL,NULL
2342,Weights,2,2223,/2223/2342/,0,NULL,NULL
2343,Accessories,2,2224,/2224/2343/,1,NULL,NULL
2344,Bath,2,2224,/2224/2344/,0,NULL,NULL
2345,Heated Baths,2,2224,/2224/2345/,1,NULL,NULL
2346,Fluid Bed,2,2224,/2224/2346/,0,NULL,NULL
2347,Fluidized,2,2224,/2224/2347/,1,NULL,NULL
2348,High Temp,2,2224,/2224/2348/,1,NULL,NULL
2349,Immersion,2,2224,/2224/2349/,1,NULL,NULL
2350,Inmersion,2,2224,/2224/2350/,0,NULL,NULL
2351,Liquid / Liquid,2,2224,/2224/2351/,1,NULL,NULL
2352,Oil,2,2224,/2224/2352/,0,NULL,NULL
2353,Oil Baths,2,2224,/2224/2353/,1,NULL,NULL
2354,Refrigerated,2,2224,/2224/2354/,1,NULL,NULL
2355,Shaking,2,2224,/2224/2355/,1,NULL,NULL
2356,Sterilizer,2,2224,/2224/2356/,1,NULL,NULL
2357,Viscosity,2,2224,/2224/2357/,1,NULL,NULL
2358,Water to Water,2,2224,/2224/2358/,0,NULL,NULL
2359,Air Sampling,2,2225,/2225/2359/,1,NULL,NULL
