ID,itemNo,title,description,adminNotes,manufacturer,model,condition,age,weight,catid,pic,quantity,price,lowestPrice,costOfGoods,totalNumberOfPieces,quantitySold,sellingPrice,auctionStartPrice,location,barcode1,barcode2,hold,new,sold,featured,specials,offTruck,consignment,deleted,date,editDate,dateSold,dateDeleted,videoLink,inclInNewsletter,NumberOfViews,clientIP
6462,NULL,NULL,"Digtial Vacuum Oven, Stailess steel inside and out. Solid state, digital temp. controller, 1/2"" tempered glass door, temp range 40 to 325 C, Int. Dimensions 9Wx12Dx9H "", ",NULL,VWR Brand,1410D,Excellent,Recent,NULL,2761,6462.JPG,2,1900,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0,1,6/28/1999,NULL,NULL,1/1/2004,NULL,NULL,NULL,NULL
6463,3991209,Neslab RTE 111,"Refrigerated Circulator, Microprocessor Controlled, Multistep programming, readout in C or F, resolution to 0.01C, Audible safety alarm, Direct 9 pin RS232-C interface port with additional 9 pin port for accessory remote sensor, 500 Watts of cooling at 20 C, 800 watts of heating, 7 liter cap. ",NULL,Neslab,RTE 111,Excellent,Recent,NULL,2354,6463.JPG,1,1500,0,0,0,1,0,0,NULL,NULL,NULL,1,0,1,0,0,0,0,0,6/28/1999,6/18/2007,6/18/2007,NULL,NULL,0,NULL,NULL
6464,NULL,Unknown Marble,"Marble Balance Table, 3"" thick marble slab construction provides maximum damping effect and vibration free stability for analytical instrument scales.  Marble slab legs are reinforced with a cast iron cross beam. Table dimentsions 35x25x31"" LWH, Weight 650 lbs,",NULL,Unknown,Marble,Good,Recent,NULL,2340,NULL,1,650,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,6/28/1999,9/16/2007,NULL,9/16/2007,NULL,0,NULL,NULL
6466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,0,0,1,NULL,NULL,0,0,1,6/28/1999,NULL,11/11/2003,11/11/2003,NULL,NULL,NULL,NULL
6468,1990716,NULL,Sample preparation workstation with PC control,NULL,Bohdan Automation,ADPS-951,Excellent,Recent,NULL,2225,6468.JPG,1,12250,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0,1,6/28/1999,NULL,NULL,1/1/2004,NULL,NULL,NULL,NULL
6469,NULL,NULL,"Support Jack, High load capacity, Safety lock, 12""x12"" stainless steel top and bottom, Oversize knob for smooth and continuous platform adjustment, Vertical lift 5 to 19"", Max load 65 kg.  ",NULL,VWR Brand,Jumbo,New,New,NULL,2611,6469.JPG,3,190,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,6/28/1999,1/15/2006,NULL,1/15/2006,NULL,NULL,NULL,NULL
6470,3990704,Thermolyne Nuova,"Magnetic Stirrer, Low profile design only 4.5  high, White porcelain-coated stainless steel top is chemical reistan and enhances visibility of liquids being stirred, Accomodates 20 lbs, Stirring area 7 x 7 "".",NULL,Thermolyne,Nuova,New,New,NULL,2606,6470.JPG,2,125,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,6/28/1999,10/11/2007,NULL,4/9/2006,NULL,0,NULL,NULL
6471,X002011107,Fisher 160,"Fisher Model 160, HiTemp Bath, For applications requiring temperatures above 100C, Use with water, oil, bath wax, or sand. Temp. max 275 C,Cast aluminum bowl handles round or flat bottom containers with up to 1 gal capacity.",NULL,Fisher,160,Good,Recent,NULL,2348,6471.JPG,1,390,0,0,0,1,0,0,Row 9 11B,NULL,2037,0,0,1,0,0,0,0,0,6/28/1999,6/18/2007,6/18/2007,NULL,NULL,0,NULL,NULL
6473,NULL,titleprofile,NULL,"HiTechTrader is a site that sells New & Used, Laboratory and Process Equipment for Research, Industry & Education. Currently listing over 700 items on our web page with pictures, descriptions, and prices.  <P>Viewing our inventory is as easy. Click on Equipment List to explore the Table of Contents. You can view either the entire category or sub category. For more information or additional pictures of an item click on the manufacture's name or model. Click on the picture to enlargeit. A handling fee of 10% of the sale price is charge for items sold on Consignment.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,0,0,1,NULL,NULL,0,0,1,6/28/1999,NULL,11/11/2003,11/11/2003,NULL,NULL,NULL,NULL
6487,14991027,NULL,"Lambda-Max. Variable Wavelength UV/VIS detector,  wavelenghts from 190 to 700 nm, low noise from 0.001 to 2.0 AUFS",NULL,Waters,481,Good,Recent,NULL,2459,6487.JPG,1,450,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0,1,11/9/1999,NULL,NULL,1/1/2004,NULL,NULL,NULL,NULL
6490,NULL,NULL,"Freeze Dryer, Table top model, 6 liter capacity @ -54 C, 3 Shelves 12 x 17"", Shelf refrigeration and heating from -40 to 50 C, Digital readout and automatically controlled",NULL,Labconco,77580,Good,Recent,NULL,2246,6490.jpg,1,7500,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0,1,6/30/1999,NULL,NULL,1/1/2004,NULL,NULL,NULL,NULL
6493,1060119,Wiley ED-5,"Wiley Cutting Mill, Material is cut by scissors action of revolving blade with 4 blades passing against 4 stationary blades (0.002"" clearance), The material is then forced through stainless steel sieves that determines the size of the product. Rotor speeds of 500, 800,1200 rpm (with no loads) ",NULL,Wiley,ED-5,Good,Recent,NULL,2720,6493.jpg,1,3500,0,0,0,1,0,0,BRow2 3B,NULL,2241,0,0,1,0,0,0,0,1,6/30/1999,7/11/2009,1/3/2007,1/3/2007,NULL,0,NULL,71.172.75.123
6494,90991022,NULL,"Motor Driven Mill, Efficient knife type mill for pulverization of both fibrous and friable materials, 3 speeds (860,1700,& 3700 rpm) Monel metal screens 20, 40,and 60 mesh are used to screen finished product. Screens are not supplied.",NULL,Wiley,Intermediate,Good,Recent,NULL,2734,6494.JPG,2,950,0,0,0,0,0,0,NULL,NULL,NULL,0,0,1,NULL,NULL,0,0,1,6/30/1999,1/8/2005,1/8/2005,1/8/2005,NULL,NULL,NULL,NULL
6503,1990704,NULL,"Superspeed Refrigerated Centrifuge, A well-established reputation for reliability, durability and simplicity of operation. Rotor speeds from 150 to 21,000 rpm (Rccf to 49,460) maintained to 1% of preset condition, Temp. from 2 to 37 C are maintained at .1 C.  Temp to -15 are possible at reduced speeds.  Sold with no rotor",NULL,Sorval,RC-5B,Excellent,Recent,NULL,2434,6503.JPG,1,6000,0,0,0,0,0,0,NULL,NULL,NULL,1,0,0,NULL,NULL,0,0,1,7/2/1999,NULL,NULL,11/10/2003,NULL,NULL,NULL,NULL
