WSMManualsID,Title,Make,Model,ItemNo,Location,Desc,CatID,isOnHold,DateCreated,isDeleted,DateDeleted,WSMWhereManualCameFromID,WhereManualCameFromLink,AssociatedItemNo
1000,Buchi RE 121 111 RotoeVaporator Manual,Buchi,RE 121 111 EL 131,M-001100731,NULL,The is a manual for the older Buchi Brinkmann Rotavaporator line of products,2490,0,2010-07-31,0,NULL,NULL,NULL,NULL
1001,BYK  Haze Gloss Reflectometer,BYK,4600 4601,M-002100731,NULL,"The haze-gloss reflectometer is a stationary instrument designed to measure specular gloss and reflection haze on paint coatings, plastics, binders, pigments, and metal surfaces (mirror reflection)",2611,0,2010-07-31,0,NULL,NULL,NULL,NULL
1002,Despatch LND Series,Despatch,LND,M-003100731,efile,LND Series Despatch Oven are bench top forced air convection ovens that goto 343C,2758,0,2010-07-31,0,NULL,NULL,NULL,NULL
1003,Desptach LFD Series,Despatch,"LFD 1-42, LFD 2-11, LFD 2-24",M-004100731,efile,LFD are bench top forced air ovens that go to 343 C (650 F),2758,0,2010-07-31,0,NULL,NULL,NULL,NULL
1004,Welch Vacuum Pumps Chemstar,Welsh,"1400N, 1402N, 1376N, 1374N",M-005100731,NULL,Belt Vacuum Pumps manual,2824,0,2010-07-31,0,NULL,NULL,NULL,NULL
1005,VAC Nexus Glove Box System,Vacuum Atmospheres Co VAC,VAC 100027,M-006100731,NULL,Details for VAC Nexus Spec,2248,0,2010-07-31,1,NULL,NULL,NULL,NULL
1006,Stomer Viscometer,Stomer,Viscometer,M-001100802,NULL,Stormer Viscometer can be employed for determining viscosity of materials,2700,0,2010-08-02,0,NULL,NULL,NULL,NULL
1007,Beckman 96157 Holmium Oxide Filter,Beckman,96157,M-002100802,efile,"This Filter provides sharp, discrete absorption bands that are useful in checking the wavelength accuracy of Beckman UV spectrophotometers.",2866,0,2010-08-02,0,NULL,NULL,NULL,NULL
1008,BOC Edwards RV3 RV5 RV8 and RV12 Rotary Vane Pumps,BOC Edwards,RV3 RV5 RV8 and RV12,M-003100802,E,Instruction Manual for Rotary Vane Pumps (used with Edwards EMF Oil Mist Filters and Edwards EMF Clean Application Oil Drain Kits),2821,0,2010-08-02,0,NULL,NULL,NULL,NULL
1009,Edwards EMF3 EMF10 and EMF20 Oil Mist Filters,Edwards,EMF3 EMF10 and EMF20,M-004100802,E,"Instruction Manual for Oil Mist Filters to be used with Edwards Speedivac 2 Pump. (Can also be used with earlier models, w/ serial #s less than 26977, w/ modification)",2816,0,2010-08-02,0,NULL,NULL,NULL,NULL
1010,Edwards EMF Clean Application Oil Drain Kits Manual,Edwards,"RV3 to RV12,Speedivac 2 and E2M0.7 to E2M12 pumps",M-005100802,E,"EMF Clean Application Oil Drain Kits Manual for RV3 to RV12 pumps, Speedivac 2 and E2M0.7 to E2M12 pumps",2816,0,2010-08-02,0,NULL,NULL,NULL,NULL
1011,Perkin Elmer FL WinLab Userguide for  LS-SS 45 50B-55,Perkin Elmer,LS 45 50B-55,M-006100802,P,"UserGuide: FL Winlab can be used to control the LS 45, LS-50B and LS 55 Luminescence Spectrometers.",2870,0,2010-08-02,0,NULL,NULL,NULL,NULL
1012,Panametrics Moisture Sensor for Vacuum Atmosphere Nexus Model 10026 Glove Box,Panametrics,271062-PR,M-001100803,efile,Moisture sensor calibration data sheet for use with AMX 1 Vacuum Atmosphere Nexus Model 10026 Glove Box,2248,0,2010-08-03,0,NULL,NULL,NULL,NULL
1013,Labconco RapidVap Evaporation System Model 79000 Instruction Manual,Labconco,RapidVap Model 79000,M-002100803,L,The Labconco RapidVap Evaporation System is designed for laboratory evaporation of solvants from multiple biological or analytical samples.,2494,0,2010-08-03,0,NULL,NULL,NULL,NULL
1014,Perkin Elmer Lambda 900 UV VIS NIR Install and Maintenance System Description,Perkin Elmer,Lambda 900,M-001100810,P,UV VIS NIR spectrophotometer manual for the PR Lambda 900,2878,0,2010-08-10,0,NULL,NULL,NULL,NULL
1015,Thermo Neslab Merlin Recirculating Chillers,Thermo Neslab,"Merlin 25, 33, 75, 100, 150",M-001100820,FC-6,Merlin Recirculating Chillers. Heat Exchange for water or other fluids.  Merlin 25 33 75 100 150,2354,0,2010-08-20,0,NULL,NULL,NULL,NULL
1016,Innovative Technology Glove Box PL HE 3 GB Pure Lab,Innovative Technology,PL-HE-09-215,M-002100820,FC-4,"PureLab HE  Glove Box with 3 glove port, gas purification system and vacuum pump.  Has O2 and H20 levels less then 1 ppm.",2248,0,2010-08-20,0,NULL,NULL,NULL,NULL
1017,Dynex UltraWash Plus microplate washer,Dynex,UltraWash Plus,M-003100820,NULL,Manual for item Number 001080720,2395,0,2010-08-20,0,NULL,NULL,NULL,NULL
1018,Perkin Elmer FL Winlab Software Userguide,Perkin Elmer,"LS45, LS-50B and LS55 Luminescence Spectrometers",M-001100831,P,"FL Winlab Software is an extensive and easy to operate software package for luminescence spectroscopy (fluorescence, phosphorescence, and bioluminescence)",2870,0,2010-08-31,1,NULL,NULL,NULL,NULL
1019,Kruss Software for Drop Shape Analysis DSA1,Kruss,Kruss Goniometer Model G10,M-001100901,efile,"A powerful tool for the computer-supported generation of liquid drops, for recording their video images and then evaluating these images. To be used with Kruss Goniometer Model G10",2656,0,2010-09-01,0,NULL,NULL,NULL,NULL
1020,VAC X-Static A Non-Fan Ionizer Instructions for VAC Nexus System 10026 Glove Box,VAC,X-Static A,M-001100902,V,VAC X-Static A ionizer controls ESD quietly and efficiently without using a blower or radioactive material.  Can be used with Vacuum Atmosphere Nexus Glove Box.,2248,0,2010-09-02,0,NULL,NULL,NULL,NULL
1021,Vacuum Atmosphere Nexus System 10026  UserGuide,VAC,Nexus System 10026,M-002100902,efile,The Nexus is a modular inert atmosphere laboratory and gas purification system with integrated instrumentation and control.  The modular concept allows the user to use a wide variety of standard VAC glovebox sizes and configurations.  The instrumentation system allows the user to monitor and control all lab functions from a single location.,2248,0,2010-09-02,0,NULL,NULL,NULL,NULL
1022,Panametrics Moisture Sensor Calibration Data Sheet for use w AMX1,Panametrics,AMX1,M-003100902,P,Moisture Sensor Calibration Data Sheet for use w AMX1,2661,0,2010-09-02,1,NULL,NULL,NULL,NULL
1023,Shimadzu UV-160A UV-Vis Recording Spectrophotometer Manual,Shimadzu UV-Vis Recording Spectrophotometer,UV-160A,M-004100902,S,The UV-160A is a microcomputer-controlled double-beam recording spectrophotometer,2881,0,2010-09-02,0,NULL,NULL,NULL,NULL
1024,Perkin Elmer Spectrum One FT-IR Spectrometer UserGuide,Perkin Elmer,Spectrum One FT-IR,M-001100907,BC 5,Perkin Elmer Spectrum One FT-IR Spectrometer. Utilizes Spectrum Software,2872,0,2010-09-07,0,NULL,NULL,NULL,NULL
1025,Perkin Elmer Spectrum One FT-IR Software UserGuide,Perkin Elmer,Spectrum One FT-IR Software,M-002100907,BC 5,This software enables you to control the Spectrum One and manipulate the spectra that you collect. Used with PE Spectrum One FT-IR Spectrometer.,2872,0,2010-09-07,0,NULL,NULL,NULL,NULL
1026,Biohit Proline Electronic Pipettor Instruction Manual,Biohit,Proline Electronic Pipettor,M-003100907,B,"Self-calibrating, microprocessor-based system reduces possibility for human error and instrument contamination by controlling all piston movements.",2405,0,2010-09-07,0,NULL,NULL,NULL,NULL
1027,Spectra Physics SP8800/8810 LC Pump Operation Manual,Spectra Physics,SP8800 / 8810 LC Pump,M-004100907,BC 7,The SP8800 Series Pumps offer low pressure ternary mixing that provides accurate proportioning of binary or ternary mobile phase compositions in either the gradient or isocratic mode.,2467,0,2010-09-07,0,NULL,NULL,NULL,NULL
1028,Aglient / HP  USB to GPIB,Agilent,USB to GPIB,M-005100907,efile,Instructions for Chemstation,2447,0,2010-09-07,0,NULL,NULL,NULL,NULL
