WSMManualsFileID,WSMManualsID,FileTitle,pdfFileName,pdfCount
1000,1000,NULL,1000-1.pdf,1
1001,1000,Buchi RE 121 111 EL131,1000-2.pdf,2
1002,1001,BYK Gardner Gloss Meter,1001-1.pdf,1
1003,1002,Desptach LND C148 8 95,1002-1.pdf,1
1004,1004,"1400N, 1402N, 1376N, 1374N Chemstar Welsh",1004-1.pdf,1
1005,1006,Stormer Visco Manual,1006-1.pdf,1
1006,1007,Beckman 96157,1007-1.pdf,1
1007,1008,BOC Edwards RV3 RV5 RV8 and RV12,1008-1.pdf,1
1008,1009,Edwards EMF3 EMF10 and EMF20 Oil Mist Filters,1009-1.pdf,1
1009,1010,Edwards EMF Clean Application Oil Drain Kits Manual,1010-1.pdf,1
1010,1011,part,1011-1.pdf,1
1011,1012,Panametrics Moisture Sensor ,1012-1.pdf,1
1012,1011,part 2,1011-2.pdf,2
1013,1013,Labconco RapidVap Evaporation System Model 79000 Instruction Manual,1013-1.pdf,1
1014,1014,PE Lambda 900,1014-1.pdf,1
1015,1016,PureLab HE User Manual,1016-1.pdf,1
1016,1016,PureLab Glovebox Manual,1016-2.pdf,2
1017,1017,Dynex Ultra wash plus,1017-1.pdf,1
1018,1018,FL Winlab Userguide Part 1,1018-1.pdf,1
1019,1019,NULL,1019-1.pdf,1
1020,1019,Kruss software userguide Part 2 for DSA1 v1.92,1019-2.pdf,2
1021,1020,VAC X-Static A instructions,1020-1.pdf,1
1022,1021,VAC Nexus System UserGuide,1021-1.pdf,1
1023,1022,Panametrics Moisture Sensor Calibration Data Sheet for use w AMX1,1022-1.pdf,1
1024,1023,Shimadzu UV-160A Spectrophotometer,1023-1.pdf,1
1025,1024,Spectrum One FT-IR Spectrometer UserGuide Part 1,1024-1.pdf,1
1026,1024,Spectrum One FT-IR Spectrometer UserGuide Part 2,1024-2.pdf,2
1027,1025,Spectrum One Software UserGuide,1025-1.pdf,1
1028,1026,Electronic Pipettor Manual,1026-1.pdf,1
1029,1028,NULL,1028-1.pdf,1
1030,1029,Reichert Abbe Mark II Refractometer Manual,1029-1.pdf,1
1031,1030,Alltech Model 500 ELSD Operating Manual,1030-1.pdf,1
1032,1031,Atlas Suntest XLS/XLS+ Manual,1031-1.tif,1
