ManufacturerAKAID,Manufacturer,AlsoKnownAs
1000,A&D,AND Weighing
1001,A&D,A&D Balance
1002,A&D Balance,AND Weighing
1003,A&D Balance,A&D
1004,AB,Applied Biosystems
1005,Affymetrix ,Genetic MicroSystems
1006,Agilent,HP
1007,Agilent,Hewlett Packard
1008,Aldrich Chemical,Aldrich Kugelrohr
1009,Aldrich Chemical,Sigma-Aldrich 
1010,Aldrich Kugelrohr,Aldrich Chemical
1011,Aldrich Kugelrohr,Sigma-Aldrich 
1012,American Lewa,Lewa
1013,American Optical,AO
1014,Amersham,Pharmacia
1015,Amersham,Amersham Pharmacia
1016,Amersham Pharmacia,Pharmacia
1017,Amersham Pharmacia,GE Healthcare Life Sciences
1018,Amersham Pharmacia,GE Healthcare
1019,Amersham Pharmacia,Hoefer
1020,Ametek,Princeton Applied Research 
1021,Ametek,Chatillon Force Measurement Systems
1022,Aminco,Newport Scientific 
1023,Amsco,Amsco Eagel
1024,Amsco Eagel,Amsco
1025,AND Weighing,A&D Balance
1026,Antek,Antek Instruments
1027,Antek Instruments,Antek
1028,AO,American Optical
1029,Applied Biosystems,AB
1030,APV,Gaulin
1031,Argonaut,Argonaut Technologies
1032,Argonaut Technologies,Argonaut
1033,Argonaut Technologies ,Jones Chromatography 
1034,ATI,ATI Unicam
1035,ATI Unicam,ATI
1036,ATI-Unicam,Thermo Electron Corp
1037,ATI-Unicam,Thermo ONIX 
1038,ATM,ATM Corporation
1039,ATM,ATM Corp 
1040,ATM Corp ,ATM
1041,ATM Corporation,ATM
1042,Autoclave Eng.,Snap-tite
1043,autoclave engineer,Autoclave Eng.
1044,autoclave engineer,Snap-tite
1045,autoclave engineer,Autoclave Hoppes
1046,B Braun Biotech ,Braun & Diessel
1047,B Braun Biotech ,Sartorius 
1048,B&L,Bausch & Lomb
1049,Barber Colman,Eurotherm 
1050,Barnstead,pyro-clean
1051,Barnstead,material testing
1052,Barnstead,Labindustries
1053,Barnstead,Linear
1054,Barnstead,Thermo
1055,Barnstead,Thermo Fisher Scientific Inc.
1056,Barnstead,Thermolyne
1057,Barnstead,Lab-line
1058,Barnstead,Electrothermal
1059,Barnstead,Ertco
1060,Barnstead,stem
1061,Barnstead,turner
1062,Barnstead,PMC
1063,Barnstead,Harvey
1064,Bausch & Lomb,B&L
1065,Bausch & Lomb,B&L
1066,BBC Goerz,ABB Goerz
1067,BD,Clay Adams
1068,BD Clay Adams,Clay Adams
1069,Beckman,"Beckman Coulter, Inc."
1070,Beckman,Beckman Biosystems
1071,Beckman Coulter,Beckman
1072,Beckman Coulter ,Coulter
1073,Bellco,Bellco Glass Inc
1074,Bellco,Bellco Biotechnology
1075,Bio-Rad,Bio-Rad Laboratories
1076,Biotek ,Bio Tek Instruments
1077,Blue M,Thermo Electron Corporation
1078,Blue M,Thermo Furnace
1079,Blue M,Lindberg
1080,BOC Edwards,Edwards
1081,BOC Edwards,Edwards
1082,Bohdan,Bohdan Automation
1083,Branson,Branson Ultrasonics Corporation
1084,Branson,Branson/ IPC
1085,Braum Biotech,B Braum Biotech 
1086,Brinkmann,Brinkmann Instruments 
1087,Brinkmann,Lauda
1088,Brinkmann,Metrohm
1089,Brinkmann,Eppendorf
1090,Brinkmann,Buchi
1091,Brinkmann,Radleys
1092,Brinkmann,Retsch
1093,Brinkmann,Heidolph 
1094,Brooks Automation ,Granville-Phillips
1095,Buchi,Brinkmann
1096,BYK,BYK-Gardner 
1097,BYK-Gardner ,BYK
1098,BYK-Gardner ,Gardner
1099,Cahn,Thermo Electron Corporation
1100,CDC,CDC Analytical
1101,CDC Analytical,CDC
1102,CE Tyler,W.S. TYLER
1103,CEM,CEM Corp.
1104,CEM Corp.,CEM
1105,Charles Ross,Charles Ross & Son Company
1106,Charles Ross,Ross
1107,Charles Ross,Ross mixing
1108,Charles Ross,Ross engineering
1109,Charles Ross & Son Company,Charles Ross
1110,Chatillon,Ametek
1111,Chatillon,Chatillon Force Measurement Systems
1112,Clay Adams,BD
1113,Clay Adams,BD Clay Adams
1114,Cole Parmer,Cole-Parmer Instrument Company 
1115,Cole-Parmer Instrument Company ,Cole Parmer
1116,Coulter,Beckman-Coulter 
1117,DuPont,DuPont Instruments
1118,DuPont Instruments,DuPont
1119,Dynisco Instruments,Kayeness
1120,Edwards,BOC Edwards
1121,Electro Tech Systems,ETS
1122,Electrothermal,Barnstead
1123,EllectroCell AB,Chematur Engineering Group
1124,Encon,Encon Safety Products
