ID,Manufacturer,Misspelling
1000,3M,NULL
1001,Aalborc,NULL
1002,ABB Goerz,NULL
1003,ABC Laboratories,ABC Laborotories
1004,ABI Prism,AIB Prism
1005,Accumet,Accumat
1006,AccuRate,Acurate
1007,Ace Glass,Ace
1008,Ace Glass,Ace-Glass
1009,Ace Glass,Ace glas
1010,Ace Glass,Aec Glass
1011,Activational Systems,Actvational systems
1012,Agilent,Agilent Tech
1013,Agilent,Agilent
1014,Agilent,Agelent
1015,Agilent,Aglent
1016,Alcatel,Acatel
1017,Aldrich,NULL
1018,Aldrich Chemical,adrich chemical
1019,Aldrich Chemical,Aldrich-Chemical
1020,Aldrich Kugelrohr,adrich kugelrohr
1021,Alfa,afa
1022,Allen Bradley,Allan Bradley
1023,Allen Bradley,Alen Bradley
1024,Allen Bradley,Allen Bradly
1025,Alltech,Altech
1026,American Lewa,American leua
1027,American Optical,American Optical Corp.
1028,American Optical,American Otical
1029,American Optical,American Opticl
1030,American Scientific,American Scientific Products
1031,American Scientific,American Sci
1032,American Scientific,American Sci.
1033,American Ultraviolet Co.,American Ultravolet
1034,Amersham,amershem
1035,Amersham Pharmacia,Amersham Pharmacia
1036,Amersham Pharmacia,Amersham Pharmaca
1037,Ametek,Ametec
1038,Ametek,Amatek
1039,Amicon,Amecon
1040,Amsco,Amisco
1041,Amsco Eagle,Amso
1042,Amsco Eagle,Amasco
1043,AND Weighing,A&D
1044,AND Weighing,AND
1045,AND Weighing,A N D
1046,Antek,Andtek
1047,Antek,antec
1048,API Ketoma Inc,NULL
1049,Applied Biosystems,Appled Biosytems
1050,Applied Biosystems,aplied biosystems
1051,Applied Biosystems,applied bio-systems
1052,Appligene,Apligene
1053,Aquafine,Aquefine
1054,Aquasonic,Aguasonic
1055,Areomatic,Aroematic
1056,Argonaut Technologies,Argonot Technologies
1057,Argonaut Technologies,Aregonaut
1058,Arrow Engineering,Aarrow
1059,Arrow Engineering,Arow Engineering
1060,Arrow Engineering,Arrow Enginering
1061,Arrow Engineering,Arrow Eng.
1062,Arrow Engineering,Arrow
1063,Artek Systems,Arteck Systems
1064,ATI Unicam,ati uncam
1065,ATI Unicam,ati uncame
1066,ATI Unicam,ait unicam
1067,ATLANTIC RESEARCH CO.,NULL
1068,Atlantic Ultraviolet Corp.,Atantic
1069,Atlas,Atlis
1070,ATM,ATM Corporation
1071,Autoclave Engineers,Autoclave Eng.
1072,Autoclave Engineers,auto clave
1073,Autoclave Engineers,autoclave engineer
1074,Autoclave Engineers,Autoclave Engineering
1075,Autoclave Engineers,Autoclave Enginering
1076,Automated Design Corporation,Atomated 
1077,Avestin,Avesten
1078,Aviv,Avw
1079,B Braun Biotech ,bbraun
1080,B Braun Biotech ,braun 
1081,B Braun Biotech ,braun 
1082,B Braun Biotech ,B. Braun Biotech Inc
1083,B Braun Biotech ,B Braun
1084,B Braun Biotech ,B-Braun Biotech Inc
1085,B Braun Biotech ,Bruan
1086,B P Perkings,NULL
1087,B&L,B & L
1088,B/R Instrument,B. R. Instrument Corp
1089,B/R Instrument ,B-R Instrument
1090,Bacharach,Bakarach
1091,Baker Co,backer
1092,Bantex,Batntec
1093,Barber Colman,Barber-colman
1094,Barber Colman,Barber kolman
1095,Barnes,Banes
1096,Barnstead,Barmstead
1097,Barnstead,barnted
1098,Barnstead,barnsted
1099,Barnstead,barnstad
1100,Barnstead,banstead
1101,Barnstead,barn stead
1102,Barnstead,Bamstead
1103,Bausch & Lomb,Bash and lomb
1104,Bausch & Lomb,Baush and lomb
1105,Baxter,Baxter Scientific Products
1106,Bayer,beyer
1107,BBC Goerz,NULL
1108,Beckman,Beckmann
1109,Beckman,Becman
1110,Beckman,Bekman
1111,Beckman,Beckman Coulter 
1112,Beckman,Beckman-Coulter 
1113,Beckman,Beckman / Coulter 
1114,Bel Art,bell art
1115,Bel-Art,Bel Art
1116,Bellco,Belco 
1117,Bellco,bel co
1118,Berghof,Bergof
1119,Beta Scientific Corp,beeta scientific
1120,Biolafitte,biolafite
1121,Bio-Rad,Bio Rad
1122,Bio-Rad,Bio-Rad
1123,Bio-Rad,BioRad
1124,Biotek ,Bio-Tek
1125,Biotek ,Bio Tec Instruments
1126,Biotek ,Boitek
1127,Biotek ,biotec
1128,Blue M,BlueM
1129,Blue M,Blue-M
1130,Blue M,Blue M Lindberg
1131,Blue M,Blue M / Lindberg
1132,Blue M,Blue-M / Lindberg
1133,BOC Edwards,B O C
1134,BOC Edwards,BOC Edwords
1135,Boekel,Bokel
1136,Bohdan,bodan
1137,Bohlin Rheometer,Bolin Rhermeter
1138,Brandtech Scientific,Brantec
1139,Branson ,Bransin
1140,Branson ,brannson
1141,Branson ,Branson Ultrasonics
1142,Branson ,barnson
1143,Brinkmann,Brinkamn 
1144,Brinkmann,Brinkman
1145,Brinkmann,Brink man
1146,Brinkmann,Brinkaman
1147,Brinkmann,Brenkman
1148,Brinkmann,Brincmann
1149,Brinkmann,brincman 
1150,BRL life Technologies,BLR Life Technologies
1151,Brogli,Brogle
1152,Brookfield Engineering ,Brofield 
1153,Brookfield Engineering ,Brookfeeld
1154,Brookfield Engineering ,Brickfield 
1155,Brookfield Engineering ,Brookfield Enginering
1156,Brookfield Engineering ,Brookfield Engineerng
1157,Brookhaven Instruments,Brookhavan
1158,Brooks Instrument ,Brooks
1159,Brooks Instrument ,Broks
1160,Brooks Instrument ,Brook
1161,Brooks Instrument ,Brokes Instruments
1162,Buchi,buch
1163,Buchi,Buche
1164,Buchi,boochi
1165,Buchi,Buchii
1166,Buchi,Bukey
1167,Buck Scientific ,Buk Scientific
1168,Burrell Scientific  ,Burrel
1169,Burrell Scientific  ,Burrell
1170,Burrell Scientific  ,Burele
1171,Burrell Scientific  ,Burrel Sci
1172,BYK-Gardner ,BYK  
1173,BYK-Gardner ,B Y K
1174,BYK-Gardner ,Gardner
1175,BYK-Gardner ,BKY
1176,BYK-Gardner ,B.Y.K.
1177,Caframo,Ca framo
1178,Caframo,catframo
1179,Caframo,Kaframo
1180,Cahn,Kahn
1181,Cahn,Con
1182,Camag Nanonmat,NULL
1183,Cannon Instrument,Cannon
1184,Cannon Instrument,Canon
1185,Capco,Cappco
1186,Carbolite,Karbolite
1187,Carbolite,Car bo lite
1188,Caron,Carron
1189,Carthage Foundry,Karthage foundry
1190,Carver,Carver
1191,Carver,Karber 
1192,Carver,karver
1193,Carver,Carver Inc.
1194,CDC,NULL
1195,CDC Analytical,CDC Analitical
1196,CE Tyler,CY Tyler
1197,CE Tyler,CE Tiler
1198,CE Tyler,cytyler
1199,Cell Pharm,Cel Pharm
1200,CEM,NULL
1201,CEM Corp.,NULL
1202,Cenco-DuNuoy,Cinco Dunouy
1203,CEPA,Ceppa
1204,Cetac,seetac
1205,Cetac,cetac
1206,Cetac,seatack
1207,Charles Ross,Charles Ros
1208,Charles Ross,Carles Ross
1209,Charles Ross,Charls Ross
1210,Charles Ross,Charles Ros's
1211,Chatillon,Chatillon
1212,Chatillon,chatilon
1213,Chatillon,Chatelon
1214,Chemglass,Chemglass Inc
1215,Chemglass,Chemglas
1216,Chemglass,kemglass
1217,Chemglass,kemglass
1218,Chemglass,chem glass
1219,Chemineer,keminer
1220,Chemineer,keminere
1221,Chemineer,cheminere
1222,Chemineer,Cheminer
1223,Chessel,chesel
1224,Chessel,chessell
1225,Chromalox,kromalox
1226,Chromalox,chromolox
1227,Chromalox,chromalock
1228,Cincinnati Milacron,Cininati Milacron
1229,Claisse,Claise
1230,Clay Adams,Cla Adams
1231,Clay Adams,Clay Adams
1232,Clay Adams,Clay Admans
1233,Clay Adams,Clay Adans
1234,Cole Parmer ,Cole-Parmer
1235,Cole Parmer ,kole parmer
1236,Cole Parmer ,col parmer
1237,Cole Parmer ,cole palmer
1238,Cole Parmer ,cole pamer
1239,Cole Parmer ,cole parmers
1240,Cole Parmer ,cole parmr
1241,Cole Parmer ,cole pallmer 
1242,Corning,korning
1243,Corning,corening
1244,Corning,corrning
1245,Corning,corenig
1246,Corning,cornig
1247,Corning,korening
1248,Coulter,colter
1249,Coulter,kolter
1250,Coulter,coutir
1251,Coulter,Coolter
1252,Coulter,koulter
